Given the tweet "Combien de soignants ont leur schéma vaccinal anti-covid complet ?"; return a list of possible hashtags,#foutagedegueule
Given the tweet "3/ricordiamo come i giornali  diffondevano menzogne sull'immunità naturale da  per pompare i finti"; return a list of possible hashtags,#mainstream #Covid #vaccini
Given the tweet "Engraçado Globo o covid acabou? Não fala mais, carnaval todos sem máscara e aglomerados! Cadê aquele informe de mortos por causa do covid?  vcs são incoerentes um câncer para comunicação brasileira!!"; return a list of possible hashtags,#SP1 #GloboLixo
Given the tweet "Fin de l'obligation vaccinale du Covid pour les  en France?Que vous soyiez défaitiste ou pas, dites-vous bien que c"; return a list of possible hashtags,#soignants
Given the tweet "Estados Unidos médicos empezarán a informar a los pacientes que se vayan a inocular l"; return a list of possible hashtags,#EEUU #USA #Florida
Given the tweet "Día 1.071Lucha contra la COVID-19 en Venezuela registra 13 nuevos contagios en las últimas 24 horas,"; return a list of possible hashtags,#Entérate
Given the tweet "Trois biologistes médicaux ont été condamnés lundi par le tribunal de Nice à des peines de 8 à 18 mois d’emprisonnement avec sursis pour avoir délivré en 2020 près de 500 tests  négatifs, sans avoir effectué les analyses  via @laprovence"; return a list of possible hashtags,#COVID19
Given the tweet "Watch the  vaccine propaganda in the sober light of 2023 and tell me the world didn't lose its mind... If you think th"; return a list of possible hashtags,#covid
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "Lávate las manos frecuentemente con agua y jabón o con antibacterial a base de alcohol.Protegerte de la -19"; return a list of possible hashtags,#Covid #Cu
Given the tweet "Estados Unidos médicos empezarán a informar a los pacientes que se vayan a inocular l"; return a list of possible hashtags,#EEUU #USA #Florida
Given the tweet "Blood test could predict the likelihood of developing  study suggestsBBC Science Focus Magazine"; return a list of possible hashtags,#longcovid
Given the tweet "Fier de notre vaste enquête auprès de 3690 personnes en grande , qui a permis d'identifier leurs facteurs d'ac"; return a list of possible hashtags,#précarité
